Brand,Series,Variant,RAM(GB),Storage(GB),Platform,Condition,Battery(mAh),Camera(MP),Release Year,Reviews,Ratings,Price(₹)
Xiaomi,Mi 13,FE,8,64,Croma,Refurbished,4000,48,2021,1230,4.3,61000
OnePlus,X2,FE,4,64,Flipkart,Good,5200,64,2023,4635,4.7,33500
Vivo,V27,FE,6,512,Offline Store,Like New,5000,12,2025,1571,4.5,28572
Samsung,F24,Ultra,12,256,Tata Cliq,Refurbished,4000,108,2021,3911,4.1,195000
OnePlus,OnePlus 12,FE,6,256,Amazon,Refurbished,4500,108,2023,5579,4.3,66500
Samsung,Y20,Ultra,8,512,Official Store,Used,5200,108,2022,8453,3.7,17400
Google,Pixel 8,Neo,8,128,Flipkart,Like New,4000,12,2021,3126,4.2,57800
Google,Pixel 8,Pro Max,12,128,Tata Cliq,Used,6000,200,2023,6649,4.4,86450
Samsung,Z22,Base,12,64,Amazon,Used,4500,12,2023,3684,4.4,100000
Realme,GT 2,Pro,6,64,Tata Cliq,Like New,5500,48,2021,1961,4.8,23235
Apple,i16,X,8,512,Official Store,Refurbished,5200,48,2021,4829,4.9,84700
Xiaomi,Redmi Note 13,Base,6,128,Croma,Like New,5000,200,2022,1884,4.6,17990
Samsung,S24,Lite,4,512,Amazon,Like New,4000,48,2024,7228,4.6,52540
Samsung,Z24,Plus,6,256,Flipkart,Good,4000,108,2024,2428,4.8,139000
Samsung,S22,Base,6,512,Official Store,Like New,5000,64,2021,6688,4.5,40131
Vivo,V50,Lite,4,512,Offline Store,Refurbished,4000,108,2024,7808,4.2,42250
Samsung,A55,Ultra,8,256,Reliance Digital,Used,4000,108,2025,1980,4.3,46200
OnePlus,OnePlus 8,T,8,64,Flipkart,Refurbished,4500,64,2024,8111,4.7,42500
Samsung,A25,FE,12,256,Offline Store,Like New,5200,12,2023,7830,3.8,18559
Samsung,A15,Plus,12,128,Tata Cliq,Refurbished,5000,12,2022,7806,4.7,13443
Samsung,M14,X,6,256,Flipkart,Refurbished,5500,12,2021,6227,4,14836
Realme,GT Neo 3,X,6,128,Official Store,Good,4500,12,2025,7719,3.8,28981
Apple,i17,Neo,6,256,Flipkart,Refurbished,4500,200,2021,5568,4.4,147250
Samsung,S23,T,4,64,Official Store,Refurbished,4000,12,2023,2066,3.8,51250
OnePlus,OnePlus 10,X,6,64,Reliance Digital,Good,4500,108,2021,6857,4.2,57400
Oppo,Reno 10,Base,8,64,Reliance Digital,Good,6000,64,2022,1767,4.7,31618
Samsung,A35,Plus,6,512,Amazon,Used,5500,108,2021,2898,3.5,23800
Oppo,Reno 10,Ultra,8,512,Reliance Digital,Good,4500,108,2023,2986,4.8,51000
Samsung,Z24,Plus,8,64,Reliance Digital,Good,6000,108,2022,9008,3.7,139000
OnePlus,T9,Base,6,256,Reliance Digital,Used,5500,64,2025,5684,4.5,40000
OnePlus,OnePlus 12,Neo,6,256,Croma,Good,5000,108,2022,8652,3.9,63250
Samsung,S24,Pro,8,64,Croma,Like New,4000,108,2025,7559,4.3,66616
Samsung,Z24,Neo,12,512,Offline Store,Like New,4000,200,2021,5054,4.8,121000
Oppo,Reno 11,Ultra,12,256,Amazon,Good,6000,12,2024,6507,3.8,55800
OnePlus,OnePlus 8,X,12,128,Flipkart,Refurbished,5000,48,2022,1297,4,44400
OnePlus,OnePlus 9,Lite,6,256,Reliance Digital,Good,5200,108,2023,8127,5,39100
Samsung,A35,Neo,4,256,Tata Cliq,Good,4000,200,2023,412,4.5,22925
Nothing,Phone 1,Plus,6,128,Offline Store,Used,4000,12,2025,8275,3.5,28600
Samsung,A35,Lite,6,128,Official Store,Used,5200,64,2025,632,3.5,21790
Samsung,M34,Neo,12,256,Flipkart,Used,4500,48,2023,1094,4.2,17278
Samsung,A35,Base,12,128,Tata Cliq,Good,5500,12,2022,4185,4,19494
Xiaomi,Redmi Note 13,Plus,6,512,Reliance Digital,Used,6000,64,2025,1797,4.1,19619
Samsung,F22,Plus,12,512,Tata Cliq,Used,5200,108,2022,6669,4.5,127000
Vivo,V25,FE,4,256,Croma,Good,5500,200,2023,7185,3.6,23440
Samsung,A55,Ultra,4,256,Offline Store,Used,6000,64,2025,693,3.8,46200
Samsung,A15,FE,4,256,Croma,Used,4500,12,2023,1345,4.2,11500
Vivo,V25,T,6,128,Official Store,Used,6000,108,2025,8915,3.9,26250
Samsung,Z23,Pro,6,512,Offline Store,Like New,6000,200,2023,9428,5,146200
Nothing,Phone 2,Neo,12,512,Croma,Good,4500,64,2022,9649,4.4,35765
OnePlus,OnePlus 10,Lite,6,512,Official Store,Used,4500,108,2022,2489,3.6,45400
Oppo,Find X5,Pro,12,128,Tata Cliq,Refurbished,4500,108,2024,4204,3.7,89500
Samsung,F23,Pro,4,256,Croma,Good,6000,108,2022,4632,4.2,150250
Vivo,V25,FE,4,128,Tata Cliq,Good,4000,108,2023,3,4.4,26786
Motorola,G31,Plus,6,128,Croma,Refurbished,6000,12,2021,6702,4.8,15054
Samsung,A15,Neo,6,512,Amazon,Refurbished,5000,48,2023,4243,4.4,14248
Apple,i11,Pro Max,8,256,Official Store,Refurbished,5200,12,2022,2622,4.5,41500
Samsung,S23,Ultra,8,64,Official Store,Good,6000,48,2025,9552,4.2,67000
Apple,i11,Ultra,8,64,Reliance Digital,Refurbished,5000,48,2025,8298,3.9,43000
Samsung,Z24,Pro,6,512,Flipkart,Like New,4000,12,2025,5557,4.8,157000
OnePlus,T10,Pro,4,128,Amazon,Used,5500,48,2021,3625,4.3,62500
Samsung,S22,FE,6,256,Official Store,Like New,5000,108,2022,6273,3.8,43085
Samsung,A25,FE,6,512,Tata Cliq,Good,5200,12,2023,3463,4.8,17428
Apple,i12,Pro Max,8,128,Offline Store,Used,5000,12,2025,3300,4.7,57000
Google,Pixel 10,Pro,6,64,Amazon,Used,4000,12,2024,355,3.9,101650
Nothing,Phone 2,Ultra,12,64,Official Store,Used,6000,12,2023,7533,4.3,51000
Vivo,V27,Ultra,4,256,Flipkart,Like New,5200,48,2023,5233,4.5,43000
OnePlus,OnePlus 9,Lite,4,512,Official Store,Used,4000,12,2023,4412,4.9,39100
Realme,GT 2,Lite,8,512,Offline Store,Used,6000,108,2025,9204,3.9,16000
Samsung,A55,Pro Max,4,512,Croma,Used,4000,108,2021,5965,4.3,44600
Samsung,F22,Pro,6,256,Tata Cliq,Used,6000,64,2022,174,4.3,143500
Oppo,Find X5,Base,6,512,Official Store,Good,6000,12,2025,7319,3.6,65000
OnePlus,T10,Neo,6,256,Croma,Used,5200,108,2023,7832,4,47500
Xiaomi,Redmi Note 12,T,8,512,Offline Store,Good,6000,64,2022,3801,3.8,17927
Nothing,Phone 2,Lite,6,512,Amazon,Refurbished,4000,108,2022,6760,4.3,32176
Realme,GT Neo 3,Plus,8,64,Official Store,Good,4500,12,2025,2840,4,29639
Samsung,A75,FE,12,256,Flipkart,Refurbished,5200,200,2021,7679,3.6,44500
Samsung,S21,Pro,8,256,Flipkart,Good,4500,64,2022,6625,4.6,44590
Vivo,V25,Base,12,128,Official Store,Used,5500,108,2022,9126,3.9,20000
OnePlus,X,Base,6,128,Official Store,Used,5200,108,2025,8964,3.9,25000
Samsung,F22,FE,8,512,Reliance Digital,Refurbished,5200,200,2022,7613,4.5,116000
OnePlus,OnePlus 8,Pro,8,256,Amazon,Like New,4500,48,2022,8206,4.9,47707
Vivo,V30,T,12,64,Tata Cliq,Like New,5500,64,2025,5675,4.4,42500
Apple,i11,Lite,4,64,Offline Store,Good,5500,108,2025,3569,4.4,26500
Samsung,A75,Pro,4,128,Amazon,Like New,4500,200,2021,8099,4.1,57710
Samsung,A25,Ultra,8,128,Offline Store,Used,6000,12,2024,2155,4.8,27000
Google,Pixel 8,Plus,8,512,Offline Store,Refurbished,5000,48,2023,5783,4.4,65800
Nothing,Phone 2,FE,4,512,Flipkart,Good,5200,12,2022,1722,4.1,33500
Vivo,V40,Plus,6,512,Tata Cliq,Used,5200,64,2025,8344,3.7,45400
Samsung,M54,Plus,4,512,Offline Store,Good,5000,200,2022,7771,5,32543
Oppo,Reno 8,X,12,256,Flipkart,Like New,5500,64,2023,2622,4.2,35141
Google,Pixel 6,Lite,12,512,Flipkart,Refurbished,4500,64,2021,6963,3.6,42250
OnePlus,OnePlus 10,FE,12,128,Official Store,Refurbished,5000,200,2021,8609,4.5,47811
Samsung,A35,X,12,256,Tata Cliq,Refurbished,5000,12,2024,6195,4.6,27357
Apple,i12,Base,6,64,Reliance Digital,Good,5500,12,2022,2261,3.6,36835
Samsung,F24,Lite,6,256,Official Store,Like New,5000,108,2022,3061,4.7,126250
Vivo,V50,Pro,6,64,Reliance Digital,Refurbished,4000,48,2021,9777,3.7,55750
OnePlus,OnePlus 10,Pro Max,12,512,Flipkart,Good,5200,48,2021,1693,4.5,69400
Google,Pixel 7,Ultra,8,64,Croma,Good,5200,48,2021,5940,3.6,75000
Samsung,F24,Ultra,4,128,Reliance Digital,Used,4500,48,2024,508,3.9,195000
Vivo,V29,Plus,6,64,Amazon,Like New,4000,48,2022,6478,4.2,41458
Samsung,Y30,Lite,8,512,Reliance Digital,Used,4500,200,2021,456,4.5,13900
Samsung,M34,X,12,64,Amazon,Used,6000,200,2022,767,4.1,21137
Apple,i14,T,8,256,Official Store,Good,5200,64,2023,2853,3.9,70147
Samsung,A15,Neo,12,512,Flipkart,Used,5200,48,2023,3644,3.8,10974
OnePlus,OnePlus 12,Lite,6,512,Flipkart,Used,6000,12,2023,9698,4.3,63250
OnePlus,OnePlus 11,Lite,12,64,Offline Store,Used,5000,200,2021,7605,3.8,47500
OnePlus,OnePlus 10,T,6,256,Reliance Digital,Like New,5000,200,2023,6909,3.6,57840
OnePlus,T8,Neo,8,64,Amazon,Used,5500,12,2024,1856,4.1,37000
Apple,i17,Plus,8,64,Flipkart,Like New,5200,48,2024,2602,4.3,169000
OnePlus,OnePlus 11,Lite,4,256,Amazon,Like New,4500,64,2023,4319,3.8,51990
Samsung,A25,Ultra,4,256,Flipkart,Like New,5500,108,2024,235,4.6,28738
Samsung,F24,Pro,4,128,Amazon,Used,5000,48,2024,2783,3.7,163750
Google,Pixel 8,Pro,12,512,Offline Store,Used,5000,48,2025,9060,4.4,74650
Samsung,Y15,Pro Max,6,256,Official Store,Like New,5500,12,2022,9227,4.7,18095
Samsung,Z23,T,6,128,Croma,Refurbished,4500,48,2021,6915,3.8,135000
Samsung,Y15,Pro,8,64,Croma,Used,4500,64,2022,3305,4.5,13952
Apple,i17,Neo,8,128,Reliance Digital,Used,5500,48,2021,277,3.8,147250
Samsung,A75,Pro Max,6,128,Flipkart,Good,5000,200,2024,3605,4.6,64750
Samsung,S21,Plus,8,64,Official Store,Refurbished,5200,12,2022,993,3.6,37000
Apple,i11,Ultra,4,512,Croma,Good,5200,108,2025,3185,3.6,43998
Nothing,Phone 2,FE,4,512,Reliance Digital,Used,4500,12,2023,1522,4.2,33500
Apple,i13,Neo,6,512,Offline Store,Refurbished,5200,200,2024,1449,4.2,47500
Samsung,A55,Plus,4,64,Official Store,Refurbished,6000,48,2023,6967,4.5,33998
Xiaomi,Redmi Note 12,FE,8,512,Amazon,Used,4500,12,2024,6387,4,14247
Vivo,V25,Base,6,128,Reliance Digital,Refurbished,6000,12,2025,323,4,20000
Samsung,Y20,Neo,8,128,Amazon,Good,4000,64,2023,9729,3.9,15438
Samsung,S22,T,4,64,Amazon,Used,4500,48,2025,4138,4.9,45000
Apple,i14,Ultra,8,512,Offline Store,Refurbished,4500,64,2024,7323,3.8,91000
OnePlus,OnePlus 11,Base,6,128,Reliance Digital,Good,5500,12,2023,3916,5,45000
Motorola,G31,Pro Max,4,256,Flipkart,Like New,5200,64,2024,3896,4.8,15687
Vivo,V50,Ultra,6,64,Offline Store,Used,4500,12,2025,5277,4.8,67000
OnePlus,X2,T,12,64,Official Store,Like New,5000,108,2025,5211,4.7,42502
Samsung,Z24,Lite,6,512,Croma,Used,4000,48,2021,373,4.7,121000
Apple,i13,Pro Max,4,64,Official Store,Refurbished,5000,200,2021,9093,3.8,72500
Samsung,S22,FE,8,512,Croma,Like New,5200,64,2024,8799,4.1,39976
Samsung,A75,Pro,12,256,Croma,Refurbished,5200,64,2021,3216,3.6,55750
Vivo,V60,Plus,6,64,Amazon,Like New,5200,12,2024,3971,4.9,55447
Samsung,Z24,X,8,64,Official Store,Good,5200,108,2025,7638,4.9,151000
Samsung,M14,Ultra,8,128,Croma,Like New,5200,200,2025,8545,3.9,23186
Vivo,V60,Lite,6,512,Flipkart,Refurbished,5200,64,2022,897,4.7,44350
Samsung,A35,FE,6,128,Official Store,Like New,4000,48,2023,1099,4.2,24449
Motorola,Edge 40,Neo,4,256,Reliance Digital,Refurbished,5500,64,2023,2477,4.1,26500
Vivo,V60,Pro,6,512,Tata Cliq,Good,5500,200,2021,1163,4.2,59535
Motorola,G71,Neo,12,512,Croma,Refurbished,4500,64,2021,1388,4.9,18813
Samsung,M14,Ultra,4,128,Croma,Like New,6000,48,2021,2998,4.1,23646
Samsung,S21,Pro Max,8,256,Reliance Digital,Good,4500,12,2022,3016,4.9,49250
Apple,i17,FE,12,64,Offline Store,Used,5200,12,2021,1989,4.2,154500
Motorola,G71,Lite,8,64,Croma,Used,5200,12,2023,4379,4.2,13900
Oppo,Reno 9,Neo,8,64,Offline Store,Like New,5500,48,2022,7801,5,34042
Nothing,Phone 1,FE,12,64,Flipkart,Used,6000,48,2022,5539,4.9,25800
Vivo,V29,FE,8,64,Offline Store,Good,5500,48,2023,743,4,34371
OnePlus,OnePlus 8,Plus,8,128,Offline Store,Refurbished,4000,48,2024,9673,4.1,40600
Motorola,G71,FE,12,128,Official Store,Like New,6000,64,2025,9642,4.4,18266
Google,Pixel 10,Base,6,512,Offline Store,Refurbished,5000,108,2022,7508,4.4,74000
Samsung,S21,T,8,64,Official Store,Used,4500,200,2024,6789,4.1,38750
Vivo,V50,T,8,128,Tata Cliq,Like New,4000,12,2025,9216,4.9,52396
Oppo,Reno 11,Base,12,64,Croma,Used,5200,48,2023,4193,3.5,33000
OnePlus,OnePlus 9,Neo,6,128,Amazon,Used,4000,108,2021,2897,4.1,39100
OnePlus,OnePlus 8,Base,12,512,Tata Cliq,Used,6000,200,2023,1291,4.3,33000
Apple,i17,Ultra,8,256,Reliance Digital,Used,4000,48,2025,6054,4.2,227000
Oppo,Find X5,Plus,12,256,Reliance Digital,Good,5000,108,2022,9778,4.2,79000
Vivo,V50,Ultra,6,256,Offline Store,Refurbished,5200,48,2023,1072,4.9,67000
Samsung,M14,T,4,512,Official Store,Like New,5000,48,2023,3958,3.8,15717
Samsung,A55,X,4,256,Reliance Digital,Refurbished,5200,12,2023,8908,3.7,37521
Vivo,V25,Neo,12,512,Croma,Good,5500,108,2024,4271,3.7,22628
OnePlus,OnePlus 10,Lite,6,512,Official Store,Like New,5200,64,2022,6118,4.5,48199
Google,Pixel 7,Base,6,512,Offline Store,Good,5200,108,2021,1759,4.8,45000
Vivo,V27,Pro Max,6,512,Official Store,Used,4000,48,2022,9208,4.3,41500
Oppo,Reno 11,X,12,128,Reliance Digital,Good,6000,64,2023,8618,4.4,44400
Samsung,M34,Plus,8,64,Reliance Digital,Refurbished,4000,48,2025,544,4.9,16950
Realme,GT 2,Plus,6,512,Offline Store,Used,5500,108,2025,5352,4.6,19000
Nothing,Phone 2,Plus,8,128,Croma,Refurbished,5200,64,2024,3065,4.4,37000
Samsung,Y20,Plus,12,256,Official Store,Good,5200,12,2024,8294,3.7,14266
Nothing,Phone 2,FE,12,512,Tata Cliq,Good,6000,64,2022,2518,4.9,34200
Vivo,V25,Base,6,128,Amazon,Good,4500,64,2025,8891,3.9,20731
Samsung,Y15,X,4,512,Flipkart,Used,5500,64,2021,9878,4.1,13696
Vivo,V27,Base,8,256,Flipkart,Refurbished,4500,200,2021,305,4,25000
Apple,i16,Neo,6,64,Flipkart,Used,4000,64,2024,7263,4.1,67450
Samsung,F24,FE,12,512,Tata Cliq,Like New,5000,64,2021,2860,4.9,132500
Apple,i16,Neo,12,64,Reliance Digital,Refurbished,4500,200,2021,8297,4.5,67450
Vivo,V25,Base,4,512,Croma,Refurbished,6000,48,2025,1356,3.7,23357
Vivo,V30,Ultra,8,512,Flipkart,Good,5200,48,2021,3856,4.3,55800
Google,Pixel 6,T,8,64,Official Store,Refurbished,4000,200,2023,1358,4.5,51250
Samsung,F22,Ultra,6,512,Official Store,Like New,4500,200,2025,6866,4.9,171000
Vivo,V30,Base,6,512,Official Store,Like New,4500,108,2021,6476,3.9,35653
Samsung,Z22,Plus,12,256,Reliance Digital,Good,5200,108,2023,5980,4.6,121000
Apple,i14,Lite,12,64,Reliance Digital,Used,4500,64,2024,7201,3.8,58000
Nothing,Phone 1,FE,8,512,Croma,Used,5200,48,2023,1798,4.3,25800
Samsung,A55,Ultra,4,128,Tata Cliq,Refurbished,4500,48,2023,7544,3.7,46200
Vivo,V40,Pro,8,512,Croma,Like New,4500,12,2022,8418,4.2,52410
Vivo,V27,Plus,8,512,Amazon,Like New,5000,48,2021,1717,4.6,36651
Google,Pixel 8,T,12,128,Croma,Used,5500,12,2024,2405,4.7,68750
Samsung,F24,Pro Max,6,64,Offline Store,Refurbished,5500,48,2025,9753,4.6,188750
Oppo,Reno 10,Plus,4,256,Croma,Refurbished,4000,200,2023,92,4.8,37804
Google,Pixel 7,X,12,256,Reliance Digital,Good,4000,12,2024,8118,5,60000
Poco,X4,T,8,256,Flipkart,Used,4000,200,2023,5583,3.8,16584
Realme,GT Neo 3,T,12,256,Flipkart,Used,4000,48,2021,6383,3.8,26250
Apple,i17,T,6,64,Offline Store,Refurbished,4000,12,2023,5828,4.9,176250
Google,Pixel 8,Pro,4,256,Official Store,Used,6000,200,2025,4227,4.3,74650
OnePlus,X,FE,8,64,Flipkart,Good,4500,64,2025,8590,3.7,30924
Vivo,V50,Lite,8,512,Official Store,Refurbished,5500,64,2024,9459,4.1,42250
Apple,i15,T,4,64,Offline Store,Like New,4500,12,2025,5283,3.6,60443
Xiaomi,Mi 13,Ultra,8,512,Official Store,Good,4000,48,2023,4511,4.4,91000
OnePlus,T9,Plus,4,128,Reliance Digital,Refurbished,4000,200,2021,3266,4.6,49000
Samsung,F22,Lite,6,256,Offline Store,Like New,5500,12,2021,111,3.5,110500
Google,Pixel 10,T,4,256,Offline Store,Like New,4500,12,2022,4476,4.6,93750
Nothing,Phone 2,Neo,8,512,Reliance Digital,Used,5200,108,2022,7924,3.5,31750
Samsung,A55,T,8,64,Official Store,Like New,5500,64,2022,6588,3.7,37498
Apple,i15,Pro Max,6,256,Flipkart,Used,5500,64,2023,140,4.4,72500
OnePlus,X2,X,12,512,Tata Cliq,Good,6000,108,2023,295,4.2,40500
Samsung,A75,Base,6,128,Official Store,Good,5000,64,2025,3372,4.3,40000
Samsung,Z24,FE,6,256,Tata Cliq,Good,5200,108,2024,1997,4.8,127000
Xiaomi,Redmi Note 13,Lite,12,64,Croma,Refurbished,4000,108,2024,3756,4.9,18565
Samsung,M14,Pro Max,12,256,Reliance Digital,Like New,5200,48,2021,189,3.9,19064
Samsung,A35,Base,4,64,Amazon,Good,5200,200,2021,9006,3.7,23554
Google,Pixel 10,Lite,12,64,Official Store,Like New,5200,12,2024,885,4.4,77950
Oppo,Reno 11,Base,12,256,Offline Store,Used,5000,64,2025,8916,4.8,33000
Vivo,V30,T,6,512,Tata Cliq,Used,4500,200,2024,2398,4.6,42500
Samsung,Y20,X,4,128,Offline Store,Good,5200,200,2023,6750,4.3,13873
Realme,GT 2,T,8,128,Tata Cliq,Used,5000,108,2023,3003,3.9,20000
Samsung,A35,FE,12,256,Croma,Good,5500,12,2025,9843,4.9,23316
Samsung,F24,Neo,4,256,Official Store,Like New,4000,64,2021,8458,3.8,126250
Google,Pixel 8,Base,4,64,Offline Store,Like New,5500,48,2022,3569,4.1,57263
Vivo,V29,Lite,8,128,Amazon,Used,5000,200,2022,6699,4.2,31750
Samsung,Y20,Plus,4,64,Tata Cliq,Used,4500,200,2021,1381,3.6,14263
Samsung,Y20,Neo,6,128,Official Store,Like New,4500,200,2025,3299,4.9,11979
Google,Pixel 7,X,8,128,Croma,Good,4000,108,2025,5330,4.9,60000
Samsung,A75,Base,12,64,Croma,Refurbished,4000,108,2023,337,4.7,40000
Vivo,V30,FE,8,256,Amazon,Good,4500,108,2023,7057,3.7,36800
Vivo,V27,Pro,4,64,Tata Cliq,Good,4000,12,2025,5597,3.9,36125
Google,Pixel 7,X,12,64,Flipkart,Good,4000,108,2024,9123,3.8,60871
Nothing,Phone 1,Base,8,64,Amazon,Used,5000,12,2024,1087,3.7,23000
Samsung,A75,Pro,4,256,Tata Cliq,Good,4000,108,2024,5677,4.2,55750
Samsung,A35,Plus,6,512,Croma,Used,6000,64,2024,1322,4.5,23800
OnePlus,OnePlus 11,X,8,256,Amazon,Good,6000,108,2024,9138,4.4,60000
Samsung,A55,Plus,12,64,Amazon,Refurbished,4000,200,2023,1195,4.3,33400
Apple,i16,X,12,64,Official Store,Refurbished,5000,108,2022,150,4,84700
OnePlus,OnePlus 10,FE,4,256,Amazon,Refurbished,5200,200,2022,3529,4.4,47800
Samsung,Z22,Pro Max,12,512,Flipkart,Refurbished,6000,108,2025,6119,3.8,157750
Samsung,S24,Ultra,8,128,Reliance Digital,Good,6000,12,2025,6652,4.7,75000
Realme,GT Neo 3,T,8,512,Offline Store,Used,4500,200,2021,3975,4.5,26250
Realme,GT 2,Pro,12,64,Tata Cliq,Good,4500,108,2024,5876,4.5,22398
Vivo,V29,FE,4,64,Amazon,Good,4000,12,2022,9779,4.9,36697
Oppo,Reno 9,X,8,512,Reliance Digital,Used,6000,108,2023,384,4.6,36600
Apple,i11,Neo,4,64,Croma,Refurbished,5200,64,2022,830,4.6,28385
Apple,i11,Ultra,8,64,Reliance Digital,Refurbished,4000,48,2025,5270,4.2,43000
Apple,i11,Ultra,12,128,Amazon,Good,4000,48,2024,3671,4.6,43000
Samsung,A15,T,8,128,Amazon,Like New,5500,64,2022,6720,3.6,15968
OnePlus,OnePlus 11,Neo,6,128,Croma,Good,6000,200,2023,690,4.6,47500
Nothing,Phone 2,Ultra,8,128,Tata Cliq,Used,5200,108,2025,3009,4.3,51000
Oppo,Reno 9,Plus,12,512,Tata Cliq,Like New,5200,12,2023,9750,4.6,37681
Samsung,F23,Plus,8,128,Flipkart,Good,5000,200,2024,4578,4.9,133000
Xiaomi,Redmi Note 13,Lite,12,64,Croma,Used,4500,12,2023,3327,4.6,13900
Nothing,Phone 2,Ultra,8,512,Flipkart,Like New,4500,108,2024,9679,3.8,53644
Samsung,A35,Neo,8,256,Flipkart,Refurbished,6000,200,2023,7392,4.3,22884
Samsung,F22,FE,12,512,Croma,Good,5000,200,2021,2275,4.4,116000
Nothing,Phone 2,Pro,4,64,Flipkart,Refurbished,6000,64,2024,406,4.6,42250
Samsung,A55,Plus,12,64,Amazon,Like New,5000,64,2024,5808,3.7,38533
Samsung,S22,X,6,512,Croma,Like New,5500,200,2022,8140,4.7,52078
Vivo,V60,Ultra,12,256,Official Store,Good,4000,64,2024,8845,3.9,70200
Apple,i17,Plus,6,512,Croma,Refurbished,5200,48,2021,5768,4.7,169000
OnePlus,X,Pro Max,8,128,Offline Store,Used,4500,48,2022,5699,4.7,41500
Oppo,Find X5,Ultra,12,64,Flipkart,Like New,6000,64,2024,2126,4.9,108401
Poco,X4,T,8,128,Amazon,Refurbished,5000,12,2022,1042,4.2,18278
Samsung,F22,Base,12,256,Official Store,Used,6000,12,2023,5475,4.1,105000
Realme,GT Neo 3,Pro,4,256,Amazon,Like New,5500,64,2024,897,5,32144
Samsung,M34,Pro,8,256,Tata Cliq,Like New,4500,108,2025,2249,4.1,25508
Apple,i13,Base,8,256,Tata Cliq,Good,5000,64,2023,638,4.1,45000
Oppo,Reno 11,X,4,128,Offline Store,Refurbished,5500,12,2024,3501,3.6,44400
Google,Pixel 10,Pro Max,8,128,Croma,Like New,5500,64,2024,3373,3.6,117520
Samsung,S23,Pro Max,12,512,Reliance Digital,Good,5500,200,2024,7179,4.3,64750
Samsung,M54,Neo,12,64,Flipkart,Like New,4000,12,2023,5281,4,30252
Vivo,V29,Lite,8,64,Official Store,Refurbished,5500,64,2021,639,4.3,33164
Samsung,F23,Pro Max,12,512,Flipkart,Good,5000,12,2023,9887,4.7,173250
Oppo,Reno 9,Ultra,6,512,Offline Store,Used,4500,108,2021,4853,4,46200
Samsung,A75,X,6,512,Amazon,Like New,5200,108,2023,8513,3.9,56192
Motorola,G71,Neo,6,256,Tata Cliq,Like New,5200,12,2025,7203,4.9,18115
Vivo,V27,Neo,4,128,Croma,Used,4500,48,2022,7418,4.6,26500
Vivo,V29,Base,8,512,Flipkart,Refurbished,4000,108,2021,1172,4.2,30277
Xiaomi,Mi 13,Plus,6,256,Amazon,Used,5000,64,2024,1126,4.1,67000
Google,Pixel 8,T,12,256,Flipkart,Like New,4000,64,2021,2300,4.9,70782
Samsung,A35,Ultra,12,256,Tata Cliq,Refurbished,5500,200,2024,8892,3.9,33400
OnePlus,OnePlus 11,Ultra,12,512,Croma,Good,4500,64,2022,8120,4.2,75000
Apple,i15,Base,4,64,Amazon,Used,5200,48,2025,2561,4.4,45000
Samsung,Z24,FE,8,128,Flipkart,Like New,6000,12,2023,6736,4.6,127000
OnePlus,OnePlus 11,T,12,64,Flipkart,Used,4500,200,2024,1379,3.8,57500
Samsung,Z22,T,4,256,Offline Store,Used,5200,200,2025,4685,4.2,126250
OnePlus,T8,Pro,12,256,Flipkart,Refurbished,4000,108,2023,7610,3.5,49000
Apple,i13,T,8,64,Amazon,Refurbished,4500,12,2022,295,3.6,57500
Google,Pixel 9,Ultra,12,256,Amazon,Like New,5500,64,2025,8228,3.8,106303
Samsung,Z24,T,8,128,Official Store,Refurbished,6000,48,2025,9617,4.4,145000
Samsung,A75,Ultra,12,256,Reliance Digital,Good,5500,48,2025,7086,4.6,67000
Samsung,Y30,Neo,4,512,Official Store,Used,5200,12,2025,9816,4.1,17586
Samsung,Z22,Neo,12,256,Flipkart,Like New,5200,200,2021,4263,3.6,105478
Samsung,A75,Pro Max,8,128,Official Store,Refurbished,5500,108,2021,4561,4.6,64750
Oppo,Reno 10,Pro Max,4,128,Reliance Digital,Good,4500,64,2025,4310,4,49250
Nothing,Phone 1,Neo,12,64,Tata Cliq,Good,6000,200,2024,387,4.9,27832
Samsung,Y20,X,4,64,Amazon,Good,6000,48,2023,9229,4.2,15942
Samsung,Y20,T,4,512,Reliance Digital,Good,5000,48,2021,949,3.5,13753
Motorola,G31,Ultra,6,128,Offline Store,Like New,4500,108,2022,6360,4.9,18231
Motorola,G31,Lite,4,512,Amazon,Refurbished,5500,200,2024,3704,4.6,8574
Samsung,Y15,Plus,8,64,Croma,Used,6000,200,2024,6112,4.9,14120
Samsung,A15,T,6,64,Official Store,Refurbished,5200,200,2023,7836,4.7,13750
Oppo,Find X5,Lite,6,256,Official Store,Like New,5200,64,2025,3666,4.9,72115
Samsung,M34,Pro Max,8,512,Official Store,Like New,6000,12,2021,2314,3.7,25423
Apple,i15,Neo,12,128,Tata Cliq,Used,5000,200,2023,6456,4.4,47500
Samsung,M54,Lite,4,256,Croma,Good,5000,12,2023,7142,4,28858
OnePlus,T8,X,4,256,Tata Cliq,Good,4500,200,2022,9853,3.6,48664
Samsung,M34,T,8,512,Reliance Digital,Good,6000,12,2022,3513,4.1,21714
Samsung,A25,Ultra,4,256,Reliance Digital,Refurbished,4500,200,2022,7723,4.2,27588
Apple,i13,Pro Max,12,64,Offline Store,Good,4000,48,2023,85,4.3,72500
Apple,i13,Base,8,128,Tata Cliq,Good,4000,200,2023,7283,4.7,46654
